"Zaragoza, Valdespartera"
Actualizado: viernes, 29 enero 2021 a las 18:42 hora oficial

"Fecha y hora oficial","Temperatura (ºC)","Velocidad del viento (km/h)","Dirección del viento","Racha (km/h)","Dirección de racha","Precipitación (mm)","Presión (hPa)","Tendencia (hPa)","Humedad (%)"
"29/01/2021 18:00","17.7","15","Oeste","31","Oeste","0.0","986.6","-0.3","51.0"
"29/01/2021 17:00","19.5","7","Oeste","18","Oeste","0.0","986.4","-1.3","49.0"
"29/01/2021 16:00","19.8","9","Noroeste","23","Noroeste","0.0","986.5","-2.1","47.0"
"29/01/2021 15:00","19.6","14","Noroeste","26","Noroeste","0.0","986.9","-2.2","48.0"
"29/01/2021 14:00","18.9","15","Noroeste","28","Norte","0.0","987.7","-1.3","50.0"
"29/01/2021 13:00","18.2","17","Noroeste","30","Noroeste","0.0","988.6","-0.4","53.0"
"29/01/2021 12:00","17.4","16","Noroeste","26","Noroeste","0.0","989.1","0.0","54.0"
"29/01/2021 11:00","17.4","10","Oeste","26","Oeste","0.0","989.0","0.5","52.0"
"29/01/2021 10:00","15.5","10","Oeste","31","Oeste","0.0","989.0","1.1","59.0"
"29/01/2021 09:00","14.1","9","Oeste","23","Oeste","0.0","989.1","1.2","64.0"
"29/01/2021 08:00","14.5","10","Noroeste","27","Noroeste","0.0","988.5","0.1","63.0"
"29/01/2021 07:00","14.8","11","Sudoeste","26","Oeste","0.0","987.9","-0.6","62.0"
"29/01/2021 06:00","13.9","12","Sur","24","Sudeste","0.0","987.9","-0.5","67.0"
"29/01/2021 05:00","14.6","7","Sudeste","35","Sudoeste","0.0","988.4","-0.6","64.0"
"29/01/2021 04:00","14.8","9","Sudoeste","26","Sudoeste","0.0","988.5","-0.4","64.0"
"29/01/2021 03:00","16.1","6","Sudoeste","35","Sudoeste","0.0","988.4","-0.7","62.0"
"29/01/2021 02:00","14.7","12","Sudoeste","27","Sur","0.0","989.0","0.1","67.0"
"29/01/2021 01:00","14.5","14","Sudoeste","24","Sudoeste","0.0","988.9","-0.5","68.0"
"29/01/2021 00:00","14.1","3","Oeste","21","Sudoeste","0.0","989.1","-0.1","69.0"
"28/01/2021 23:00","13.4","5","Sudeste","10","Sur","0.0","988.9","-0.2","75.0"
"28/01/2021 22:00","12.2","3","Sur","16","Sudeste","0.0","989.4","0.2","79.0"
"28/01/2021 21:00","12.7","5","Sur","8","Sur","0.0","989.2","0.1","78.0"
"28/01/2021 20:00","13.8","2","Sudoeste","4","Norte","0.0","989.1","0.0","73.0"
"28/01/2021 19:00","15.0","6","Sur","10","Noroeste","0.0","989.2","","69.0"
